Country,Total Medals
United States,1109
Russia,706
Germany,552
Australia,524
China,450
Canada,351
Italy,307
Great Britain,296
France,287
Netherlands,286
South Korea,274
Japan,259
Brazil,220
Spain,195
Cuba,188
Sweden,167
Norway,158
Argentina,141
Ukraine,137
Hungary,132
Finland,112
Romania,97
Belarus,92
Denmark,89
Switzerland,87
Croatia,76
Czech Republic,75
Poland,73
Austria,70
Jamaica,61
Greece,59
New Zealand,51
Kazakhstan,42
Nigeria,39
Mexico,38
Kenya,38
Serbia and Montenegro,38
Bulgaria,36
Slovakia,33
Serbia,31
Lithuania,30
Turkey,27
Azerbaijan,25
Ethiopia,24
Iran,24
Slovenia,24
Georgia,23
Bahamas,23
Indonesia,22
South Africa,22
North Korea,21
Cameroon,20
Chile,20
Chinese Taipei,20
Uzbekistan,19
Belgium,18
Thailand,18
Paraguay,17
Latvia,17
Trinidad and Tobago,16
Estonia,16
Iceland,15
Montenegro,14
Colombia,13
India,11
Mongolia,10
Armenia,10
Morocco,10
Portugal,9
Ireland,9
Algeria,8
Egypt,8
Saudi Arabia,6
Singapore,6
Dominican Republic,5
Moldova,5
Venezuela,4
Israel,4
Malaysia,3
Qatar,3
Tunisia,3
Hong Kong,3
Kyrgyzstan,3
Tajikistan,3
Vietnam,2
Afghanistan,2
Kuwait,2
Puerto Rico,2
Zimbabwe,2
Mozambique,1
Ecuador,1
Bahrain,1
Barbados,1
Botswana,1
Uruguay,1
Costa Rica,1
United Arab Emirates,1
Cyprus,1
Uganda,1
Eritrea,1
Sri Lanka,1
Panama,1
Togo,1
Grenada,1
Guatemala,1
Syria,1
Macedonia,1
Mauritius,1
Sudan,1
Gabon,1
